company;product;url
Elgiganten;Playstation 5 (Digital Edition);https://www.elgiganten.dk/product/gaming/konsoller/playstation-konsoller/220280/playstation-5-ps5-digital-edition
Elgiganten;Playstation 5;https://www.elgiganten.dk/product/gaming/konsoller/playstation-konsoller/220276/playstation-5-ps5
Elgiganten;Test;https://www.elgiganten.dk/product/pc-tablets/barbar-co
