company;product;url
Proshop;PlayStation 5 Disc Edition;https://www.proshop.dk/Spillekonsol/Sony-PlayStation-5-Nordic/2831713
Proshop;PlayStation 5 Digital Edition;https://www.proshop.dk/Spillekonsol/Sony-PlayStation-5-Digital-Edition-Nordic/2863627
Happii;PlayStation 5 Disc Edition;https://www.happii.dk/Spillekonsol/Sony-PlayStation-5-Nordic/2831713
Happii;PlayStation 5 Digital Edition;https://www.happii.dk/Spillekonsol/Sony-PlayStation-5-Digital-Edition-Nordic/2863627
Merlin;PlayStation 5 Disc Edition;https://www.merlin.dk/Spillekonsol/Sony-PlayStation-5-Nordic/2831713
Merlin;PlayStation 5 Digital Edition;https://www.merlin.dk/Spillekonsol/Sony-PlayStation-5-Digital-Edition-Nordic/2863627
Proshop;Test Product;https://www.proshop.dk/LEGO/LEGO-Technic-42121-Stor-gravemaskine/2927073?cid=b63a6597-f49b-404f-85c9-a7a20cb1816f
