company;product;url
Bilka;PlayStation 5 Disc Edition;https://www.bilka.dk/produkter/sony-playstation-5-standard/100532624/
Bilka;PlayStation 5 Digital Edition;https://www.bilka.dk/produkter/sony-playstation-5-digital/100553322/
