company;product;url
Foetex;PlayStation 5 Digital Edition;https://www.foetex.dk/produkter/sony-playstation-5-digital/100553322/
Foetex;PlayStation 5 Disc Edition;https://www.foetex.dk/produkter/sony-playstation-5-standard/100532624/
