company;product;url
Coolshop;PlayStation 5 Disc Edition;https://www.coolshop.dk/produkt/playstation-5-console-825gb-ssd-nordic/235CN4/
Coolshop;PlayStation 5 Digital Edition;https://www.coolshop.dk/produkt/playstation-5-console-digital-edition-825gb-ssd-nordic/235CQ7/
